"alpha","lamda1","rho_A","rho_I"
0.5,0.96,0.6513,0.5285
0.5,0.98,0.6493,0.5184
0.5,1,0.6391,0.5194
0.52,0.02,0.6351,0.5357
0.52,0.04,0.6272,0.5202
0.52,0.06,0.6199,0.5271
0.52,0.08,0.6414,0.5335
0.52,0.1,0.6201,0.5446
0.52,0.12,0.6307,0.5331
0.52,0.14,0.6264,0.5176
0.52,0.16,0.6555,0.5214
0.52,0.18,0.6454,0.5161
0.52,0.2,0.6282,0.5268
0.52,0.22,0.6269,0.5193
0.52,0.24,0.645,0.5145
0.52,0.26,0.6446,0.511
0.52,0.28,0.6403,0.5131
0.52,0.3,0.6575,0.5053
0.52,0.32,0.6533,0.5386
0.52,0.34,0.6469,0.533
0.52,0.36,0.64,0.5133
0.52,0.38,0.6317,0.5052
0.52,0.4,0.654,0.5223
0.52,0.42,0.6177,0.5243
0.52,0.44,0.6405,0.5189
0.52,0.46,0.6358,0.5089
0.52,0.48,0.6235,0.5247
0.52,0.5,0.6523,0.5476
0.52,0.52,0.6422,0.5063
0.52,0.54,0.6259,0.5281
0.52,0.56,0.6308,0.5292
0.52,0.58,0.6339,0.511
0.52,0.6,0.6254,0.5045
0.52,0.62,0.6221,0.5267
0.52,0.64,0.6381,0.5351
0.52,0.66,0.62,0.4911
0.52,0.68,0.6439,0.5032
0.52,0.7,0.6497,0.5473
0.52,0.72,0.6409,0.5185
0.52,0.74,0.6407,0.5405
0.52,0.76,0.6476,0.4875
0.52,0.78,0.656,0.5129
0.52,0.8,0.626,0.522
0.52,0.82,0.649,0.5311
0.52,0.84,0.6312,0.5314
0.52,0.86,0.6577,0.5371
0.52,0.88,0.6423,0.5275
0.52,0.9,0.6388,0.5464
0.52,0.92,0.6379,0.5276
0.52,0.94,0.644,0.5172
0.52,0.96,0.6428,0.5263
0.52,0.98,0.6314,0.5342
0.52,1,0.6413,0.5143
0.54,0.02,0.6051,0.5218
0.54,0.04,0.6382,0.5224
0.54,0.06,0.6316,0.5406
0.54,0.08,0.6471,0.5107
0.54,0.1,0.6267,0.5235
0.54,0.12,0.6285,0.5247
0.54,0.14,0.638,0.5093
0.54,0.16,0.6259,0.5045
0.54,0.18,0.604,0.5101
0.54,0.2,0.6473,0.5197
0.54,0.22,0.6323,0.4859
0.54,0.24,0.6416,0.5304
0.54,0.26,0.6374,0.5375
0.54,0.28,0.6492,0.5254
0.54,0.3,0.6389,0.5151
0.54,0.32,0.619,0.5286
0.54,0.34,0.6305,0.533
0.54,0.36,0.5933,0.5386
0.54,0.38,0.6244,0.5268
0.54,0.4,0.6345,0.522
0.54,0.42,0.6317,0.5421
0.54,0.44,0.6421,0.5325
0.54,0.46,0.6061,0.5345
0.54,0.48,0.6162,0.5366
0.54,0.5,0.6419,0.5056
0.54,0.52,0.6426,0.504
0.54,0.54,0.6484,0.513
0.54,0.56,0.6208,0.5433
0.54,0.58,0.6321,0.5087
0.54,0.6,0.6335,0.5175
0.54,0.62,0.6325,0.5306
0.54,0.64,0.6565,0.5022
0.54,0.66,0.6372,0.5401
0.54,0.68,0.6141,0.5207
0.54,0.7,0.6415,0.5318
0.54,0.72,0.6259,0.5332
0.54,0.74,0.6343,0.533
0.54,0.76,0.6227,0.5217
0.54,0.78,0.6298,0.5405
0.54,0.8,0.6372,0.5204
0.54,0.82,0.6415,0.5287
0.54,0.84,0.6512,0.5192
0.54,0.86,0.6334,0.5279
0.54,0.88,0.6424,0.5087
0.54,0.9,0.6627,0.4965
0.54,0.92,0.6469,0.5088
0.54,0.94,0.652,0.4961
0.54,0.96,0.6597,0.4989
0.54,0.98,0.6341,0.5191
0.54,1,0.6342,0.5364
0.56,0.02,0.6108,0.4942
0.56,0.04,0.6441,0.5271
0.56,0.06,0.637,0.5008
0.56,0.08,0.6497,0.5137
0.56,0.1,0.6295,0.5139
0.56,0.12,0.6321,0.5194
0.56,0.14,0.6261,0.5191
0.56,0.16,0.6172,0.5294
0.56,0.18,0.6346,0.5175
0.56,0.2,0.6454,0.5216
0.56,0.22,0.6333,0.5147
0.56,0.24,0.6227,0.5221
0.56,0.26,0.6228,0.5245
0.56,0.28,0.6197,0.5413
0.56,0.3,0.6235,0.505
0.56,0.32,0.6441,0.4916
0.56,0.34,0.6335,0.5099
0.56,0.36,0.6468,0.503
0.56,0.38,0.6471,0.4971
0.56,0.4,0.6213,0.5141
0.56,0.42,0.6468,0.4991
0.56,0.44,0.6354,0.5267
0.56,0.46,0.6376,0.5019
0.56,0.48,0.6636,0.5356
0.56,0.5,0.6434,0.5039
0.56,0.52,0.6185,0.5042
0.56,0.54,0.6205,0.5274
0.56,0.56,0.5999,0.5253
0.56,0.58,0.6302,0.5394
0.56,0.6,0.6173,0.5314
0.56,0.62,0.6224,0.5175
0.56,0.64,0.6244,0.537
0.56,0.66,0.6273,0.5154
0.56,0.68,0.6327,0.5262
0.56,0.7,0.6216,0.5169
0.56,0.72,0.6302,0.5273
0.56,0.74,0.6242,0.4851
0.56,0.76,0.6424,0.5229
0.56,0.78,0.6303,0.5062
0.56,0.8,0.6456,0.5008
0.56,0.82,0.6349,0.5325
0.56,0.84,0.6364,0.5179
0.56,0.86,0.6235,0.5141
0.56,0.88,0.6431,0.5134
0.56,0.9,0.6217,0.5193
0.56,0.92,0.6221,0.5126
0.56,0.94,0.6355,0.5027
0.56,0.96,0.6464,0.5287
0.56,0.98,0.6256,0.5221
0.56,1,0.6301,0.519
0.58,0.02,0.65,0.4878
0.58,0.04,0.6314,0.5041
0.58,0.06,0.6304,0.4955
0.58,0.08,0.6252,0.5183
0.58,0.1,0.6323,0.5216
0.58,0.12,0.6342,0.5347
0.58,0.14,0.6267,0.5254
0.58,0.16,0.6129,0.5358
0.58,0.18,0.629,0.501
0.58,0.2,0.6175,0.5334
0.58,0.22,0.6067,0.5335
0.58,0.24,0.6275,0.5102
0.58,0.26,0.6316,0.5052
0.58,0.28,0.6372,0.5017
0.58,0.3,0.6303,0.4855
0.58,0.32,0.6399,0.515
0.58,0.34,0.6219,0.5303
0.58,0.36,0.6169,0.5194
0.58,0.38,0.6306,0.5208
0.58,0.4,0.6451,0.5286
0.58,0.42,0.6257,0.5137
0.58,0.44,0.6183,0.5254
0.58,0.46,0.6351,0.5244
0.58,0.48,0.6381,0.5281
0.58,0.5,0.6282,0.5224
0.58,0.52,0.6458,0.5017
0.58,0.54,0.6354,0.4983
0.58,0.56,0.6286,0.5145
0.58,0.58,0.6216,0.5193
0.58,0.6,0.6457,0.5191
0.58,0.62,0.6115,0.505
0.58,0.64,0.6094,0.5317
0.58,0.66,0.6383,0.5321
0.58,0.68,0.595,0.5177
0.58,0.7,0.6264,0.53
0.58,0.72,0.6277,0.5003
0.58,0.74,0.6237,0.5181
0.58,0.76,0.621,0.5181
0.58,0.78,0.6204,0.5097
0.58,0.8,0.6419,0.5071
0.58,0.82,0.6243,0.517
0.58,0.84,0.6228,0.5199
0.58,0.86,0.6291,0.5067
0.58,0.88,0.6426,0.5181
0.58,0.9,0.6258,0.5159
0.58,0.92,0.6204,0.4984
0.58,0.94,0.608,0.5171
0.58,0.96,0.6403,0.5162
0.58,0.98,0.6432,0.528
0.58,1,0.6396,0.5082
0.6,0.02,0.6326,0.5074
0.6,0.04,0.6326,0.5117
0.6,0.06,0.634,0.5052
0.6,0.08,0.629,0.5081
0.6,0.1,0.616,0.488
0.6,0.12,0.6338,0.5221
0.6,0.14,0.6203,0.5112
0.6,0.16,0.6079,0.4868
0.6,0.18,0.6168,0.5128
0.6,0.2,0.6338,0.5318
0.6,0.22,0.6209,0.5155
0.6,0.24,0.6018,0.5317
0.6,0.26,0.6261,0.5251
0.6,0.28,0.6141,0.5234
0.6,0.3,0.6168,0.5064
0.6,0.32,0.6205,0.5104
0.6,0.34,0.6187,0.5164
0.6,0.36,0.6488,0.5052
0.6,0.38,0.6335,0.5068
0.6,0.4,0.6172,0.5149
0.6,0.42,0.6265,0.4959
0.6,0.44,0.6339,0.524
0.6,0.46,0.6202,0.5257
0.6,0.48,0.6044,0.5197
0.6,0.5,0.6318,0.5161
0.6,0.52,0.6414,0.5223
0.6,0.54,0.6269,0.4776
0.6,0.56,0.5828,0.5315
0.6,0.58,0.6145,0.504
0.6,0.6,0.6306,0.5246
0.6,0.62,0.639,0.5319
0.6,0.64,0.6275,0.52
0.6,0.66,0.6268,0.5157
0.6,0.68,0.6149,0.5133
0.6,0.7,0.6122,0.536
0.6,0.72,0.6189,0.5209
0.6,0.74,0.6325,0.515
0.6,0.76,0.6346,0.5073
0.6,0.78,0.6183,0.5025
0.6,0.8,0.6401,0.4953
0.6,0.82,0.6011,0.5239
0.6,0.84,0.6145,0.5176
0.6,0.86,0.6411,0.4913
0.6,0.88,0.6141,0.5131
0.6,0.9,0.6356,0.5025
0.6,0.92,0.6301,0.5367
0.6,0.94,0.6441,0.5235
0.6,0.96,0.6339,0.5286
0.6,0.98,0.6133,0.5123
0.6,1,0.6359,0.4994
0.62,0.02,0.62,0.5142
0.62,0.04,0.6141,0.5189
0.62,0.06,0.6075,0.5305
0.62,0.08,0.6364,0.4965
0.62,0.1,0.6291,0.5207
0.62,0.12,0.6308,0.5008
0.62,0.14,0.6127,0.5253
0.62,0.16,0.6151,0.5345
0.62,0.18,0.5759,0.5241
0.62,0.2,0.621,0.4964
0.62,0.22,0.6085,0.5088
0.62,0.24,0.6186,0.5083
0.62,0.26,0.6186,0.4792
0.62,0.28,0.6389,0.5128
0.62,0.3,0.597,0.5041
0.62,0.32,0.6259,0.5145
0.62,0.34,0.6177,0.5064
0.62,0.36,0.6219,0.5085
0.62,0.38,0.6165,0.504
0.62,0.4,0.6066,0.5116
0.62,0.42,0.6288,0.5207
0.62,0.44,0.6094,0.5062
0.62,0.46,0.6263,0.4895
0.62,0.48,0.6232,0.5011
0.62,0.5,0.6153,0.5166
0.62,0.52,0.6052,0.5217
0.62,0.54,0.6459,0.5098
0.62,0.56,0.6284,0.492
0.62,0.58,0.6232,0.5117
0.62,0.6,0.6197,0.5092
0.62,0.62,0.6193,0.5106
0.62,0.64,0.6189,0.5102
0.62,0.66,0.6403,0.5004
0.62,0.68,0.6124,0.5078
0.62,0.7,0.6363,0.503
0.62,0.72,0.6221,0.5034
0.62,0.74,0.6341,0.4981
0.62,0.76,0.6235,0.5169
0.62,0.78,0.6122,0.5067
0.62,0.8,0.635,0.5181
0.62,0.82,0.6312,0.5061
0.62,0.84,0.6198,0.525
0.62,0.86,0.6155,0.5246
0.62,0.88,0.6302,0.5086
0.62,0.9,0.622,0.5292
0.62,0.92,0.6341,0.5084
0.62,0.94,0.6364,0.4933
0.62,0.96,0.6235,0.5236
0.62,0.98,0.6352,0.4976
0.62,1,0.6249,0.5178
0.64,0.02,0.6206,0.5137
0.64,0.04,0.6066,0.4948
0.64,0.06,0.6199,0.4949
0.64,0.08,0.594,0.5176
0.64,0.1,0.6298,0.5242
0.64,0.12,0.6183,0.5103
0.64,0.14,0.6155,0.5069
0.64,0.16,0.6241,0.4968
0.64,0.18,0.6078,0.4944
0.64,0.2,0.6095,0.5207
0.64,0.22,0.6151,0.5086
0.64,0.24,0.623,0.5081
0.64,0.26,0.6147,0.5282
0.64,0.28,0.6256,0.4892
0.64,0.3,0.6178,0.4909
0.64,0.32,0.6246,0.5027
0.64,0.34,0.6246,0.4977
0.64,0.36,0.6193,0.5053
0.64,0.38,0.6289,0.5019
0.64,0.4,0.6393,0.5059
0.64,0.42,0.6236,0.4993
0.64,0.44,0.6217,0.5313
0.64,0.46,0.6061,0.5096
0.64,0.48,0.6303,0.4928
0.64,0.5,0.6298,0.5113
0.64,0.52,0.6022,0.4971
0.64,0.54,0.6486,0.4816
0.64,0.56,0.5972,0.4979
0.64,0.58,0.6382,0.5161
0.64,0.6,0.6306,0.5058
0.64,0.62,0.6214,0.4928
0.64,0.64,0.6247,0.5359
0.64,0.66,0.6333,0.4922
0.64,0.68,0.6149,0.5137
0.64,0.7,0.6305,0.5002
0.64,0.72,0.6197,0.5075
0.64,0.74,0.6251,0.5173
0.64,0.76,0.6361,0.5168
0.64,0.78,0.6241,0.5037
0.64,0.8,0.5953,0.5258
0.64,0.82,0.6216,0.5281
0.64,0.84,0.6325,0.5044
0.64,0.86,0.6296,0.5083
0.64,0.88,0.6092,0.5054
0.64,0.9,0.5966,0.5063
0.64,0.92,0.6193,0.5048
0.64,0.94,0.622,0.4981
0.64,0.96,0.6257,0.4782
0.64,0.98,0.6184,0.4976
0.64,1,0.6266,0.5033
0.66,0.02,0.6025,0.5127
0.66,0.04,0.6291,0.4957
0.66,0.06,0.6179,0.5083
0.66,0.08,0.6019,0.4904
0.66,0.1,0.6154,0.4946
0.66,0.12,0.6241,0.5032
0.66,0.14,0.6105,0.5073
0.66,0.16,0.6072,0.5194
0.66,0.18,0.6018,0.5235
0.66,0.2,0.6176,0.5321
0.66,0.22,0.6135,0.4984
0.66,0.24,0.6134,0.501
0.66,0.26,0.6465,0.5025
0.66,0.28,0.5996,0.5015
0.66,0.3,0.6132,0.5303
0.66,0.32,0.6356,0.4989
0.66,0.34,0.6161,0.4867
0.66,0.36,0.6047,0.5052
0.66,0.38,0.6254,0.4828
0.66,0.4,0.6196,0.5191
0.66,0.42,0.6142,0.5085
0.66,0.44,0.6169,0.4939
0.66,0.46,0.6333,0.5156
0.66,0.48,0.6267,0.5199
0.66,0.5,0.6188,0.5131
0.66,0.52,0.6297,0.5223
0.66,0.54,0.6244,0.5072
0.66,0.56,0.604,0.5092
0.66,0.58,0.6394,0.5078
0.66,0.6,0.6093,0.5175
0.66,0.62,0.6215,0.5002
0.66,0.64,0.6043,0.4992
0.66,0.66,0.6015,0.5313
0.66,0.68,0.6188,0.4998
0.66,0.7,0.6215,0.4741
0.66,0.72,0.6136,0.4903
0.66,0.74,0.6104,0.5059
0.66,0.76,0.6158,0.4921
0.66,0.78,0.6293,0.4578
0.66,0.8,0.6129,0.5235
0.66,0.82,0.5945,0.5103
0.66,0.84,0.6133,0.508
0.66,0.86,0.615,0.5013
0.66,0.88,0.6311,0.5127
0.66,0.9,0.644,0.49
0.66,0.92,0.6157,0.5034
0.66,0.94,0.6077,0.5299
0.66,0.96,0.6266,0.4996
0.66,0.98,0.6242,0.5189
0.66,1,0.6159,0.5042
0.68,0.02,0.5973,0.5003
0.68,0.04,0.5992,0.5156
0.68,0.06,0.6041,0.4764
0.68,0.08,0.6413,0.4911
0.68,0.1,0.6091,0.4821
0.68,0.12,0.6149,0.4772
0.68,0.14,0.6222,0.5073
0.68,0.16,0.5894,0.5056
0.68,0.18,0.6084,0.5017
0.68,0.2,0.6205,0.5028
0.68,0.22,0.6095,0.5137
0.68,0.24,0.623,0.5052
0.68,0.26,0.6258,0.4929
0.68,0.28,0.6013,0.4981
0.68,0.3,0.61,0.5038
0.68,0.32,0.6258,0.4635
0.68,0.34,0.6238,0.5159
0.68,0.36,0.6182,0.4975
0.68,0.38,0.6111,0.497
0.68,0.4,0.6327,0.4865
0.68,0.42,0.6197,0.5021
0.68,0.44,0.6127,0.4831
0.68,0.46,0.6167,0.5166
0.68,0.48,0.6064,0.4778
0.68,0.5,0.6093,0.4933
0.68,0.52,0.6281,0.4911
0.68,0.54,0.6241,0.492
0.68,0.56,0.6059,0.4895
0.68,0.58,0.6275,0.511
0.68,0.6,0.5979,0.4913
0.68,0.62,0.6211,0.4874
0.68,0.64,0.6171,0.4903
0.68,0.66,0.5983,0.5158
0.68,0.68,0.6202,0.4925
0.68,0.7,0.6186,0.5081
0.68,0.72,0.6246,0.513
0.68,0.74,0.6195,0.4952
0.68,0.76,0.6004,0.4792
0.68,0.78,0.5976,0.497
0.68,0.8,0.5932,0.5255
0.68,0.82,0.6066,0.5001
0.68,0.84,0.6236,0.4682
0.68,0.86,0.5984,0.5034
0.68,0.88,0.6328,0.5023
0.68,0.9,0.596,0.5155
0.68,0.92,0.6009,0.4924
0.68,0.94,0.612,0.4959
0.68,0.96,0.6165,0.4869
0.68,0.98,0.5757,0.4887
0.68,1,0.6049,0.5125
0.7,0.02,0.6359,0.4928
0.7,0.04,0.6046,0.5042
0.7,0.06,0.5983,0.49
0.7,0.08,0.6314,0.4823
0.7,0.1,0.6022,0.4797
0.7,0.12,0.5811,0.503
0.7,0.14,0.6334,0.4836
0.7,0.16,0.6135,0.5027
0.7,0.18,0.6223,0.4875
0.7,0.2,0.6265,0.4925
0.7,0.22,0.6045,0.4856
0.7,0.24,0.6293,0.4922
0.7,0.26,0.6032,0.4994
0.7,0.28,0.6288,0.4782
0.7,0.3,0.5974,0.4994
0.7,0.32,0.5981,0.5099
0.7,0.34,0.6006,0.4951
0.7,0.36,0.6092,0.5034
0.7,0.38,0.6144,0.4794
0.7,0.4,0.6134,0.5087
0.7,0.42,0.6121,0.5093
0.7,0.44,0.6049,0.4804
0.7,0.46,0.6044,0.4978
0.7,0.48,0.6287,0.4995
0.7,0.5,0.6023,0.4952
0.7,0.52,0.6158,0.5025
0.7,0.54,0.6054,0.5181
0.7,0.56,0.6016,0.518
0.7,0.58,0.6177,0.4805
0.7,0.6,0.624,0.4789
0.7,0.62,0.6061,0.476
0.7,0.64,0.6178,0.4866
0.7,0.66,0.6131,0.488
0.7,0.68,0.6246,0.5051
0.7,0.7,0.6168,0.5157
0.7,0.72,0.6211,0.5214
0.7,0.74,0.6113,0.5223
0.7,0.76,0.6054,0.4951
0.7,0.78,0.6162,0.4838
0.7,0.8,0.6233,0.5139
0.7,0.82,0.6122,0.4975
0.7,0.84,0.606,0.4894
0.7,0.86,0.626,0.4869
0.7,0.88,0.5869,0.5012
0.7,0.9,0.6125,0.4981
0.7,0.92,0.6323,0.5091
0.7,0.94,0.6184,0.4683
0.7,0.96,0.6108,0.482
0.7,0.98,0.613,0.5027
0.7,1,0.6193,0.4727
0.72,0.02,0.627,0.5064
0.72,0.04,0.6115,0.512
0.72,0.06,0.6063,0.4863
0.72,0.08,0.6091,0.5086
0.72,0.1,0.6018,0.5104
0.72,0.12,0.6314,0.5081
0.72,0.14,0.6124,0.4996
0.72,0.16,0.5908,0.5123
0.72,0.18,0.6117,0.5127
0.72,0.2,0.6153,0.4889
0.72,0.22,0.5931,0.482
0.72,0.24,0.6044,0.5176
0.72,0.26,0.6143,0.512
0.72,0.28,0.5993,0.5014
0.72,0.3,0.6148,0.4872
0.72,0.32,0.6234,0.4618
0.72,0.34,0.6303,0.4838
0.72,0.36,0.6238,0.4983
0.72,0.38,0.6003,0.5138
0.72,0.4,0.6056,0.4987
0.72,0.42,0.6067,0.4957
0.72,0.44,0.613,0.4795
0.72,0.46,0.604,0.4934
0.72,0.48,0.6184,0.4885
0.72,0.5,0.592,0.5293
0.72,0.52,0.599,0.5033
0.72,0.54,0.6282,0.5103
0.72,0.56,0.6055,0.5143
0.72,0.58,0.6285,0.4987
0.72,0.6,0.6052,0.4802
0.72,0.62,0.6008,0.4994
0.72,0.64,0.602,0.4858
0.72,0.66,0.6199,0.5254
0.72,0.68,0.6134,0.5023
0.72,0.7,0.6054,0.4982
0.72,0.72,0.6108,0.4653
0.72,0.74,0.6143,0.4814
0.72,0.76,0.6237,0.4977
0.72,0.78,0.6192,0.5078
0.72,0.8,0.602,0.4857
0.72,0.82,0.6005,0.5072
0.72,0.84,0.6114,0.4825
0.72,0.86,0.6153,0.4848
0.72,0.88,0.6113,0.4848
0.72,0.9,0.5825,0.5165
0.72,0.92,0.6152,0.5077
0.72,0.94,0.6073,0.5209
0.72,0.96,0.6196,0.492
0.72,0.98,0.5789,0.5175
0.72,1,0.6011,0.4987
0.74,0.02,0.6003,0.5025
0.74,0.04,0.6061,0.4839
0.74,0.06,0.6081,0.4686
0.74,0.08,0.5968,0.4835
0.74,0.1,0.6239,0.4692
0.74,0.12,0.5918,0.5204
0.74,0.14,0.6285,0.4832
0.74,0.16,0.6145,0.4869
0.74,0.18,0.581,0.5098
0.74,0.2,0.5962,0.4766
0.74,0.22,0.5843,0.514
0.74,0.24,0.6049,0.4957
0.74,0.26,0.6022,0.4905
0.74,0.28,0.6051,0.5097
0.74,0.3,0.626,0.497
0.74,0.32,0.6161,0.4786
0.74,0.34,0.6161,0.4854
0.74,0.36,0.6077,0.4915
0.74,0.38,0.6035,0.4913
0.74,0.4,0.6226,0.4649
0.74,0.42,0.588,0.4908
0.74,0.44,0.6081,0.4842
0.74,0.46,0.5963,0.5159
0.74,0.48,0.5966,0.4525
0.74,0.5,0.6148,0.5026
0.74,0.52,0.5797,0.5139
0.74,0.54,0.6191,0.4845
0.74,0.56,0.6271,0.4932
0.74,0.58,0.6027,0.5035
0.74,0.6,0.5975,0.5092
0.74,0.62,0.5967,0.5088
0.74,0.64,0.6128,0.4767
0.74,0.66,0.6316,0.4841
0.74,0.68,0.5826,0.5129
0.74,0.7,0.6011,0.4919
0.74,0.72,0.6161,0.4757
0.74,0.74,0.6055,0.4888
0.74,0.76,0.6176,0.4729
0.74,0.78,0.6012,0.4966
0.74,0.8,0.5933,0.487
0.74,0.82,0.6025,0.5083
0.74,0.84,0.6214,0.4824
0.74,0.86,0.5792,0.4942
0.74,0.88,0.6044,0.4848
0.74,0.9,0.5927,0.5103
0.74,0.92,0.6015,0.4685
0.74,0.94,0.6024,0.5125
0.74,0.96,0.6137,0.4933
0.74,0.98,0.6007,0.5053
0.74,1,0.6052,0.4895
0.76,0.02,0.5945,0.4823
0.76,0.04,0.6048,0.4732
0.76,0.06,0.626,0.5038
0.76,0.08,0.5946,0.4986
0.76,0.1,0.5889,0.5096
0.76,0.12,0.6041,0.4794
0.76,0.14,0.5864,0.5124
0.76,0.16,0.5894,0.4957
0.76,0.18,0.603,0.5131
0.76,0.2,0.6059,0.4969
0.76,0.22,0.6119,0.4967
0.76,0.24,0.6121,0.4633
0.76,0.26,0.5981,0.4762
0.76,0.28,0.6079,0.5099
0.76,0.3,0.5801,0.4935
0.76,0.32,0.6093,0.4867
0.76,0.34,0.6079,0.4999
0.76,0.36,0.6148,0.4828
0.76,0.38,0.6021,0.4916
0.76,0.4,0.6184,0.4944
